,FIGHTER,KD,STR,TD,SUB,WEIGHT_CLASS,METHOD,ROUND,TIME
2916,"Luis Henrique
Christian Colombo","0
0","31
3","6
0","2
0",Heavyweight,"SUB
Guillotine Choke",3,2:12
2917,"Pedro Munhoz
Justin Scoggins","0
0","28
44","0
1","1
0",Bantamweight,"SUB
Guillotine Choke",2,1:55
2918,"Francimar Barroso
Darren Stewart","0
0","0
7","0
1","0
0",Light Heavyweight,Overturned,1,1:34
2919,"Gegard Mousasi
Uriah Hall","0
0","20
12","1
0","0
0",Middleweight,"KO/TKO
Punches",1,4:37
2920,"Stevie Ray
Ross Pearson","0
0","49
38","1
0","0
0",Lightweight,S-DEC,3,5:00
2921,"Alexander Volkov
Timothy Johnson","0
1","45
43","1
1","0
0",Heavyweight,S-DEC,3,5:00
2922,"Artem Lobov
Teruto Ishihara","0
1","82
48","1
0","0
0",Featherweight,U-DEC,3,5:00
2923,"Jack Marshman
Magnus Cedenblad","2
0","42
36","0
3","0
0",Middleweight,"KO/TKO
Punch",2,3:40
2924,"Kyoji Horiguchi
Ali Bagautinov","0
0","55
36","4
2","0
0",Flyweight,U-DEC,3,5:00
2925,"Kevin Lee
Magomed Mustafaev","0
0","20
20","7
0","2
1",Lightweight,"SUB
Rear Naked Choke",2,4:31
2926,"Amanda Cooper
Anna Elmose","0
1","69
63","2
0","1
0",Women's Strawweight,U-DEC,3,5:00
2927,"Justin Ledet
Mark Godbeer","0
0","3
5","1
0","1
0",Heavyweight,"SUB
Rear Naked Choke",1,2:16
2928,"Zak Cummings
Alexander Yakovlev","0
0","24
18","0
1","1
0",Welterweight,"SUB
Armbar",2,4:02
2929,"Marion Reneau
Milana Dudieva","0
0","48
17","1
2","1
0",Women's Bantamweight,"KO/TKO
Elbows",3,3:03
2930,"Brett Johns
Kwan Ho Kwak","0
0","49
53","11
0","0
0",Bantamweight,U-DEC,3,5:00
2931,"Abdul Razak Alhassan
Charlie Ward","3
0","12
2","0
0","0
0",Welterweight,"KO/TKO
Punch",1,0:53
2932,"Conor McGregor
Eddie Alvarez","3
0","32
9","0
0","0
0",Lightweight,"KO/TKO
Punches",2,3:04
2933,"Tyron Woodley
Stephen Thompson","1
0","61
43","1
0","2
0",Welterweight,M-DEC,5,5:00
2934,"Joanna Jedrzejczyk
Karolina Kowalkiewicz","0
0","171
50","1
0","0
0",Women's Strawweight,U-DEC,5,5:00
2935,"Yoel Romero
Chris Weidman","1
0","18
12","2
1","0
0",Middleweight,"KO/TKO
Flying Knee",3,0:24
2936,"Raquel Pennington
Miesha Tate","0
0","43
21","1
1","3
0",Women's Bantamweight,U-DEC,3,5:00
2937,"Frankie Edgar
Jeremy Stephens","0
1","40
33","5
0","2
1",Featherweight,U-DEC,3,5:00
2938,"Khabib Nurmagomedov
Michael Johnson","0
0","94
19","2
0","1
1",Lightweight,"SUB
Kimura",3,2:31
2939,"Tim Boetsch
Rafael Natal","1
0","14
5","0
0","0
0",Middleweight,"KO/TKO
Punches",1,3:22
2940,"Vicente Luque
Belal Muhammad","1
0","9
3","0
0","0
0",Welterweight,"KO/TKO
Punches",1,1:19
2941,"Jim Miller
Thiago Alves","0
0","28
36","4
0","1
0",Catch Weight,U-DEC,3,5:00
2942,"Liz Carmouche
Katlyn Chookagian","0
1","27
22","4
0","0
0",Women's Bantamweight,S-DEC,3,5:00
2943,"Tony Ferguson
Rafael Dos Anjos","0
0","199
121","0
0","0
0",Lightweight,U-DEC,5,5:00
2944,"Diego Sanchez
Marcin Held","0
0","46
30","0
0","0
1",Lightweight,U-DEC,3,5:00
2945,"Ricardo Lamas
Charles Oliveira","0
0","11
13","1
2","1
2",Featherweight,"SUB
Guillotine Choke",2,2:13
2946,"Martin Bravo
Claudio Puelles","1
0","56
29","0
1","0
0",Lightweight,"KO/TKO
Punch",2,1:55
2947,"Beneil Dariush
Rashid Magomedov","0
0","60
41","0
1","0
0",Lightweight,U-DEC,3,5:00
2948,"Alexa Grasso
Heather Clark","0
0","65
40","1
0","0
0",Women's Strawweight,U-DEC,3,5:00
2949,"Erik Perez
Felipe Arantes","0
0","36
34","3
0","0
2",Bantamweight,S-DEC,3,5:00
2950,"Joe Soto
Marco Beltran","0
0","2
3","1
0","1
0",Catch Weight,"SUB
Heel Hook",1,1:37
2951,"Max Griffin
Erick Montano","0
0","15
3","0
0","0
0",Welterweight,"KO/TKO
Punch",1,0:54
2952,"Douglas Silva de Andrade
Henry Briones","1
0","72
67","1
0","0
0",Bantamweight,"KO/TKO
Spinning Back Fist",3,2:33
2953,"Sam Alvey
Alex Nicholson","0
0","63
82","0
0","0
0",Middleweight,U-DEC,3,5:00
2954,"Marco Polo Reyes
Jason Novelli","0
0","50
29","0
1","0
0",Lightweight,S-DEC,3,5:00
2955,"Enrique Barzola
Chris Avila","0
0","72
29","7
0","0
0",Featherweight,U-DEC,3,5:00
2956,"Michael Bisping
Dan Henderson","0
2","119
81","0
1","0
0",Middleweight,U-DEC,5,5:00
2957,"Gegard Mousasi
Vitor Belfort","0
0","57
8","1
0","0
0",Middleweight,"KO/TKO
Punches",2,2:43
2958,"Jimi Manuwa
Ovince Saint Preux","1
0","32
13","0
2","1
0",Light Heavyweight,"KO/TKO
Punch",2,2:38
2959,"Stefan Struve
Daniel Omielanczuk","0
0","9
14","2
0","1
0",Heavyweight,"SUB
D'Arce Choke",2,1:41
2960,"Mirsad Bektic
Russell Doane","0
0","4
6","4
0","2
0",Featherweight,"SUB
Rear Naked Choke",1,4:22
2961,"Iuri Alcantara
Brad Pickett","1
0","26
1","0
0","2
0",Bantamweight,"SUB
Triangle Choke",1,1:59
2962,"Damian Stasiak
Davey Grant","0
0","10
36","4
2","1
0",Bantamweight,"SUB
Armbar",3,2:56
2963,"Leon Edwards
Albert Tumenov","0
0","16
32","3
0","1
0",Welterweight,"SUB
Rear Naked Choke",3,3:01
2964,"Marc Diakiese
Lukasz Sajewski","0
0","48
21","1
2","0
0",Lightweight,"KO/TKO
Punches",2,4:40
2965,"Mike Perry
Danny Roberts","1
0","90
81","0
0","0
0",Welterweight,"KO/TKO
Knee",3,4:40
2966,"Leonardo Santos
Adriano Martins","0
0","23
34","0
0","0
0",Lightweight,S-DEC,3,5:00
2967,"John Lineker
John Dodson","0
0","93
101","0
0","0
0",Bantamweight,S-DEC,5,5:00
2968,"Alex Oliveira
Will Brooks","0
0","48
16","4
4","1
0",Lightweight,"KO/TKO
Punches",3,3:30
2969,"Zak Ottow
Joshua Burkman","0
0","65
47","0
1","1
0",Welterweight,S-DEC,3,5:00
2970,"Brandon Moreno
Louis Smolka","0
0","8
7","1
1","2
0",Flyweight,"SUB
Guillotine Choke",1,2:23
2971,"Henrique da Silva
Joachim Christensen","0
1","44
50","0
0","1
0",Light Heavyweight,"SUB
Armbar",2,4:43
2972,"Andre Fili
Hacran Dias","1
0","45
25","1
4","0
1",Featherweight,U-DEC,3,5:00
2973,"Shamil Abdurakhimov
Walt Harris","0
0","47
33","1
0","0
1",Heavyweight,S-DEC,3,5:00
2974,"Elizeu Zaleski dos Santos
Keita Nakamura","0
0","34
24","1
5","2
0",Welterweight,U-DEC,3,5:00
2975,"Nate Marquardt
Tamdan McCrory","1
0","24
16","2
0","0
0",Middleweight,"KO/TKO
Kick",2,4:44
2976,"Ion Cutelaba
Jonathan Wilson","0
0","89
30","0
0","0
0",Light Heavyweight,U-DEC,3,5:00
2977,"Curtis Blaydes
Cody East","0
0","52
21","5
3","0
0",Heavyweight,"KO/TKO
Elbows",2,2:02
2978,"Ketlen Vieira
Kelly Faszholz","0
0","13
44","4
0","0
0",Women's Bantamweight,S-DEC,3,5:00
2979,"Cristiane Justino
Lina Lansberg","0
0","84
14","2
0","0
0",Catch Weight,"KO/TKO
Punches",2,2:29
2980,"Renan Barao
Phillipe Nover","0
0","64
39","3
0","0
0",Featherweight,U-DEC,3,5:00
2981,"Roy Nelson
Antonio Silva","1
0","36
27","0
0","0
0",Heavyweight,"KO/TKO
Punch",2,4:10
2982,"Francisco Trinaldo
Paul Felder","0
0","32
33","1
0","0
0",Lightweight,KO/TKO,3,2:25
2983,"Eric Spicely
Thiago Santos","0
0","5
2","1
0","1
0",Middleweight,"SUB
Rear Naked Choke",1,2:58
2984,"Godofredo Pepey
Mike de la Torre","0
0","24
6","1
0","2
0",Featherweight,"SUB
Rear Naked Choke",1,3:03
2985,"Michel Prazeres
Gilbert Burns","0
0","67
46","5
1","0
0",Lightweight,U-DEC,3,5:00
2986,"Rani Yahya
Michinori Tanaka","0
0","10
20","7
1","1
0",Bantamweight,U-DEC,3,5:00
2987,"Jussier Formiga
Dustin Ortiz","0
0","8
13","1
0","2
0",Flyweight,U-DEC,3,5:00
2988,"Erick Silva
Luan Chagas","1
2","55
41","0
1","2
0",Welterweight,"SUB
Rear Naked Choke",3,3:57
2989,"Alan Patrick
Stevie Ray","0
0","7
2","5
0","1
1",Lightweight,U-DEC,3,5:00
2990,"Vicente Luque
Hector Urbina","1
0","11
5","0
0","0
0",Welterweight,"KO/TKO
Punch",1,1:00
2991,"Gregor Gillespie
Glaico Franca Moreira","0
0","41
43","5
0","0
0",Lightweight,U-DEC,3,5:00
2992,"Michael Johnson
Dustin Poirier","1
0","14
6","0
0","0
0",Lightweight,"KO/TKO
Punches",1,1:35
2993,"Derek Brunson
Uriah Hall","1
0","4
1","0
0","0
0",Middleweight,"KO/TKO
Punches",1,1:41
2994,"Evan Dunham
Ricky Glenn","0
0","144
58","3
0","2
0",Lightweight,U-DEC,3,5:00
2995,"Roan Carneiro
Kenny Robertson","0
0","33
28","2
0","0
0",Welterweight,S-DEC,3,5:00
2996,"Islam Makhachev
Chris Wade","0
0","12
5","4
0","2
2",Lightweight,U-DEC,3,5:00
2997,"Chas Skelly
Maximo Blanco","0
0","1
0","0
0","1
0",Featherweight,"SUB
D'Arce Choke",1,0:19
2998,"Gabriel Benitez
Sam Sicilia","1
0","39
19","0
0","1
0",Featherweight,"SUB
Guillotine Choke",2,1:20
2999,"Belal Muhammad
Augusto Montano","0
0","66
67","3
0","0
0",Welterweight,"KO/TKO
Punches",3,4:19
3000,"Antonio Carlos Junior
Leonardo Guimaraes","0
0","32
6","7
0","1
2",Middleweight,"SUB
Rear Naked Choke",3,4:46
3001,"Jose Quinonez
Joey Gomez","2
1","56
44","5
0","0
0",Bantamweight,U-DEC,3,5:00
3002,"Randy Brown
Erick Montano","0
0","12
21","1
2","1
0",Welterweight,"SUB
Guillotine Choke",3,0:18
3003,"Alejandro Perez
Albert Morales","0
0","61
79","1
0","0
0",Bantamweight,M-DEC,3,5:00
3004,"Stipe Miocic
Alistair Overeem","0
1","34
9","1
0","0
1",Heavyweight,"KO/TKO
Punch",1,4:27
3005,"Fabricio Werdum
Travis Browne","1
0","84
37","0
0","1
0",Heavyweight,U-DEC,3,5:00
3006,"Mickey Gall
CM Punk","0
0","20
0","1
0","2
0",Welterweight,"SUB
Rear Naked Choke",1,2:14
3007,"Jimmie Rivera
Urijah Faber","0
0","54
22","0
0","0
0",Bantamweight,U-DEC,3,5:00
3008,"Jessica Andrade
Joanne Wood","0
0","20
13","2
0","1
0",Women's Strawweight,"SUB
Guillotine Choke",1,4:38
3009,"Bethe Correia
Jessica Eye","0
0","49
52","0
0","0
0",Women's Bantamweight,S-DEC,3,5:00
3010,"Brad Tavares
Caio Magalhaes","0
0","46
26","0
1","0
1",Middleweight,S-DEC,3,5:00
3011,"Nik Lentz
Michael McBride","0
0","38
16","5
0","1
0",Lightweight,"KO/TKO
Punches",2,4:17
3012,"Drew Dober
Jason Gonzalez","1
0","20
10","0
0","0
0",Lightweight,"KO/TKO
Punch",1,1:45
3013,"Yancy Medeiros
Sean Spencer","2
0","17
17","0
0","1
0",Welterweight,"SUB
Rear Naked Choke",2,0:49
3014,"Josh Barnett
Andrei Arlovski","0
0","53
38","1
1","1
0",Heavyweight,"SUB
Rear Naked Choke",3,2:53
3015,"Alexander Gustafsson
Jan Blachowicz","0
0","50
28","4
0","0
0",Light Heavyweight,U-DEC,3,5:00
3016,"Ryan Bader
Ilir Latifi","1
1","13
9","0
0","0
0",Light Heavyweight,"KO/TKO
Knee",2,2:06
3017,"Nick Hein
Tae Hyun Bang","0
0","20
40","2
0","0
0",Lightweight,U-DEC,3,5:00
3018,"Jessin Ayari
Jim Wallhead","0
1","70
47","0
0","0
0",Welterweight,S-DEC,3,5:00
3019,"Peter Sobotta
Nicolas Dalby","1
0","38
14","3
0","1
0",Welterweight,U-DEC,3,5:00
3020,"Ashlee Evans-Smith
Veronica Macedo","0
0","73
23","2
0","0
0",Women's Bantamweight,"KO/TKO
Elbows",3,2:46
3021,"Taylor Lapilus
Leandro Issa","0
0","63
19","0
3","0
0",Bantamweight,U-DEC,3,5:00
3022,"Jarjis Danho
Christian Colombo","0
0","52
76","1
0","0
0",Heavyweight,M-DEC,3,5:00
3023,"Jack Hermansson
Scott Askham","0
0","88
37","1
0","0
2",Middleweight,U-DEC,3,5:00
3024,"Rustam Khabilov
Leandro Silva","0
0","24
29","2
0","0
0",Lightweight,U-DEC,3,5:00
3025,"Demian Maia
Carlos Condit","0
0","1
1","1
0","1
0",Welterweight,"SUB
Rear Naked Choke",1,1:52
3026,"Anthony Pettis
Charles Oliveira","0
0","53
41","0
4","1
0",Featherweight,"SUB
Guillotine Choke",3,1:49
3027,"Paige VanZant
Bec Rawlings","1
0","25
21","0
0","0
0",Women's Strawweight,"KO/TKO
Kick",2,0:17
3028,"Jim Miller
Joe Lauzon","0
0","80
54","0
3","0
1",Lightweight,S-DEC,3,5:00
3029,"Sam Alvey
Kevin Casey","2
0","59
25","0
0","0
0",Middleweight,"KO/TKO
Punches",2,4:56
3030,"Kyle Bochniak
Enrique Barzola","0
0","41
55","1
1","0
0",Featherweight,S-DEC,3,5:00
3031,"Alessio Di Chirico
Garreth McLellan","1
0","61
57","2
2","0
0",Middleweight,S-DEC,3,5:00
3032,"Felipe Silva
Shane Campbell","1
0","11
9","0
0","0
0",Lightweight,"KO/TKO
Punch",1,1:13
3033,"Chad Laprise
Thibault Gouti","2
0","17
4","0
0","0
0",Lightweight,"KO/TKO
Punch",1,1:36
3034,"Jeremy Kennedy
Alex Ricci","0
0","27
28","5
0","0
0",Lightweight,U-DEC,3,5:00
3035,"Conor McGregor
Nate Diaz","3
0","164
166","0
1","0
0",Welterweight,M-DEC,5,5:00
3036,"Anthony Johnson
Glover Teixeira","1
0","4
1","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,0:13
3037,"Donald Cerrone
Rick Story","1
0","45
17","1
1","1
0",Welterweight,"KO/TKO
Kick",2,2:02
3038,"Mike Perry
Hyun Gyu Lim","3
0","31
8","0
0","0
0",Welterweight,"KO/TKO
Punch",1,3:38
3039,"Tim Means
Sabah Homasi","0
0","71
33","0
2","0
0",Welterweight,"KO/TKO
Punches",2,2:56
3040,"Cody Garbrandt
Takeya Mizugaki","1
0","12
4","0
0","0
0",Bantamweight,"KO/TKO
Punch",1,0:48
3041,"Raquel Pennington
Elizabeth Phillips","0
0","33
15","3
1","1
0",Women's Bantamweight,U-DEC,3,5:00
3042,"Artem Lobov
Chris Avila","0
0","53
42","0
0","0
0",Featherweight,U-DEC,3,5:00
3043,"Cortney Casey
Randa Markos","0
0","21
4","0
1","1
0",Women's Strawweight,"SUB
Armbar",1,4:34
3044,"Lorenz Larkin
Neil Magny","1
0","32
8","0
0","0
0",Welterweight,"KO/TKO
Elbows",1,4:08
3045,"Colby Covington
Max Griffin","0
0","26
13","6
0","0
1",Welterweight,"KO/TKO
Punches",3,2:18
3046,"Marvin Vettori
Alberto Uda","0
0","10
4","1
1","1
0",Middleweight,"SUB
Guillotine Choke",1,4:30
3047,"Yair Rodriguez
Alex Caceres","0
0","120
62","1
1","0
0",Featherweight,S-DEC,5,5:00
3048,"Dennis Bermudez
Rony Jason","0
0","48
9","5
0","0
0",Featherweight,U-DEC,3,5:00
3049,"Thales Leites
Chris Camozzi","0
0","36
8","5
0","1
0",Middleweight,"SUB
Rear Naked Choke",3,2:58
3050,"Santiago Ponzinibbio
Zak Cummings","0
0","58
35","0
1","0
0",Welterweight,U-DEC,3,5:00
3051,"Trevor Smith
Joseph Gigliotti","1
0","42
15","4
1","2
1",Middleweight,U-DEC,3,5:00
3052,"Maryna Moroz
Danielle Taylor","0
0","17
17","0
1","0
0",Women's Strawweight,S-DEC,3,5:00
3053,"Court McGee
Dominique Steele","0
0","15
23","4
0","1
0",Welterweight,U-DEC,3,5:00
3054,"Marcin Tybura
Viktor Pesta","1
0","15
3","0
0","0
0",Heavyweight,"KO/TKO
Kick",2,0:53
3055,"David Teymur
Jason Novelli","1
0","26
8","0
0","0
0",Lightweight,"KO/TKO
Punches",2,1:25
3056,"Teruto Ishihara
Horacio Gutierrez","1
0","13
5","0
0","0
0",Featherweight,"KO/TKO
Punches",1,2:32
3057,"Cub Swanson
Tatsuya Kawajiri","0
0","67
23","1
3","1
0",Featherweight,U-DEC,3,5:00
3058,"Justin Ledet
Chase Sherman","0
0","113
59","0
0","0
0",Heavyweight,U-DEC,3,5:00
3059,"Tyron Woodley
Robbie Lawler","1
0","8
3","0
0","0
0",Welterweight,"KO/TKO
Punch",1,2:12
3060,"Karolina Kowalkiewicz
Rose Namajunas","0
0","84
70","0
2","0
0",Women's Strawweight,S-DEC,3,5:00
3061,"Jake Ellenberger
Matt Brown","2
0","21
7","0
0","0
0",Welterweight,"KO/TKO
Kick",1,1:46
3062,"Erik Perez
Francisco Rivera","0
0","54
55","2
0","0
0",Bantamweight,U-DEC,3,5:00
3063,"Ryan Benoit
Fredy Serrano","1
0","31
22","0
5","0
0",Flyweight,S-DEC,3,5:00
3064,"Nikita Krylov
Ed Herman","1
0","60
26","0
1","0
0",Light Heavyweight,"KO/TKO
Kick",2,0:40
3065,"Jorge Masvidal
Ross Pearson","1
0","113
52","1
2","0
0",Welterweight,U-DEC,3,5:00
3066,"Anthony Hamilton
Damian Grabowski","1
0","9
1","0
0","0
0",Heavyweight,"KO/TKO
Punches",1,0:14
3067,"Wilson Reis
Hector Sandoval","0
0","4
5","3
0","1
0",Flyweight,"SUB
Rear Naked Choke",1,1:49
3068,"Michael Graves
Bojan Velickovic","0
0","9
17","3
1","0
0",Welterweight,M-DEC,3,5:00
3069,"Damien Brown
Cesar Arzamendia","2
0","22
17","0
0","0
1",Lightweight,"KO/TKO
Punches",1,2:27
3070,"Valentina Shevchenko
Holly Holm","0
0","87
54","3
0","0
0",Women's Bantamweight,U-DEC,5,5:00
3071,"Edson Barboza
Gilbert Melendez","0
0","56
39","1
0","0
0",Lightweight,U-DEC,3,5:00
3072,"Francis Ngannou
Bojan Mihajlovic","0
0","8
3","0
0","0
0",Heavyweight,"KO/TKO
Punches",1,1:34
3073,"Felice Herrig
Kailin Curran","0
0","13
5","1
0","1
0",Women's Strawweight,"SUB
Rear Naked Choke",1,1:59
3074,"Eddie Wineland
Frankie Saenz","1
0","42
45","0
1","0
0",Bantamweight,"KO/TKO
Punches",3,1:54
3075,"Darren Elkins
Godofredo Pepey","0
0","33
20","5
0","0
2",Featherweight,U-DEC,3,5:00
3076,"Kamaru Usman
Alexander Yakovlev","0
0","41
8","5
0","0
0",Welterweight,U-DEC,3,5:00
3077,"Michel Prazeres
JC Cottrell","0
0","48
14","7
0","1
0",Lightweight,U-DEC,3,5:00
3078,"Alex Oliveira
James Moontasri","0
0","58
12","2
0","0
0",Welterweight,U-DEC,3,5:00
3079,"Jason Knight
Jim Alers","0
0","76
41","1
4","0
0",Featherweight,S-DEC,3,5:00
3080,"Luis Henrique
Dmitrii Smoliakov","0
0","20
14","1
0","1
0",Heavyweight,"SUB
Rear Naked Choke",2,3:58
3081,"John Lineker
Michael McDonald","2
0","26
14","0
0","0
0",Bantamweight,"KO/TKO
Punch",1,2:43
3082,"Tony Ferguson
Lando Vannata","0
1","66
40","0
0","3
0",Lightweight,"SUB
D'Arce Choke",2,2:22
3083,"Tim Boetsch
Josh Samman","0
0","38
17","2
0","0
0",Middleweight,"KO/TKO
Punches",2,3:49
3084,"Daniel Omielanczuk
Aleksei Oleinik","0
0","26
8","1
4","0
2",Heavyweight,M-DEC,3,5:00
3085,"Keita Nakamura
Kyle Noke","1
0","41
44","0
2","1
0",Welterweight,"SUB
Rear Naked Choke",2,4:59
3086,"Louis Smolka
Ben Nguyen","0
0","82
4","3
0","7
1",Flyweight,"KO/TKO
Elbows",2,4:41
3087,"Katlyn Chookagian
Lauren Murphy","0
0","45
38","0
1","0
0",Women's Bantamweight,U-DEC,3,5:00
3088,"Sam Alvey
Eric Spicely","0
0","8
7","0
0","1
0",Middleweight,"SUB
Guillotine Choke",1,2:43
3089,"Cortney Casey
Cristina Stanciu","0
0","19
5","2
0","0
0",Women's Strawweight,"KO/TKO
Elbows",1,2:36
3090,"Scott Holtzman
Cody Pfister","1
0","53
28","3
1","1
0",Lightweight,U-DEC,3,5:00
3091,"Rani Yahya
Matthew Lopez","0
0","40
14","3
1","1
2",Bantamweight,"SUB
Arm Triangle",3,4:19
3092,"Alex Nicholson
Devin Clark","1
1","18
14","0
1","0
1",Middleweight,"KO/TKO
Punch",1,4:57
3093,"Amanda Nunes
Miesha Tate","0
0","40
3","0
0","1
0",Women's Bantamweight,"SUB
Rear Naked Choke",1,3:16
3094,"Brock Lesnar
Mark Hunt","0
0","51
13","4
0","0
0",Heavyweight,Overturned,3,5:00
3095,"Daniel Cormier
Anderson Silva","0
0","33
17","3
0","0
0",Light Heavyweight,U-DEC,3,5:00
3096,"Jose Aldo
Frankie Edgar","0
0","80
79","0
0","0
0",Featherweight,U-DEC,5,5:00
3097,"Cain Velasquez
Travis Browne","1
0","50
6","1
0","0
0",Heavyweight,"KO/TKO
Punches",1,4:57
3098,"Julianna Pena
Cat Zingano","0
0","12
11","2
3","1
0",Women's Bantamweight,U-DEC,3,5:00
3099,"Kelvin Gastelum
Johny Hendricks","0
0","124
70","0
1","0
0",Welterweight,U-DEC,3,5:00
3100,"TJ Dillashaw
Raphael Assuncao","0
0","64
49","1
0","0
0",Bantamweight,U-DEC,3,5:00
3101,"Sage Northcutt
Enrique Marin","0
0","41
16","0
4","1
2",Lightweight,U-DEC,3,5:00
3102,"Joe Lauzon
Diego Sanchez","1
0","22
6","0
0","0
0",Lightweight,"KO/TKO
Punches",1,1:26
3103,"Gegard Mousasi
Thiago Santos","1
0","21
5","2
0","0
0",Middleweight,"KO/TKO
Punch",1,4:32
3104,"Jim Miller
Takanori Gomi","0
0","8
1","1
0","0
0",Lightweight,"KO/TKO
Punches",1,2:18
3105,"Joanna Jedrzejczyk
Claudia Gadelha","0
1","176
63","1
4","0
0",Women's Strawweight,U-DEC,5,5:00
3106,"Andrew Sanchez
Khalil Rountree Jr.","0
0","31
14","6
0","0
0",Light Heavyweight,U-DEC,3,5:00
3107,"Tatiana Suarez
Amanda Cooper","0
0","16
1","3
0","1
2",Women's Strawweight,"SUB
D'Arce Choke",1,3:43
3108,"Will Brooks
Ross Pearson","0
0","80
54","1
0","0
0",Lightweight,U-DEC,3,5:00
3109,"Dooho Choi
Thiago Tavares","1
0","4
2","0
2","0
0",Featherweight,"KO/TKO
Punch",1,2:42
3110,"Joaquim Silva
Andrew Holbrook","1
0","6
2","0
0","0
0",Lightweight,"KO/TKO
Punch",1,0:34
3111,"Gray Maynard
Fernando Bruno","0
0","30
32","3
2","1
1",Featherweight,U-DEC,3,5:00
3112,"Matheus Nicolau
John Moraga","0
0","41
31","0
0","0
0",Flyweight,S-DEC,3,5:00
3113,"Josh Stansbury
Cory Hendricks","0
0","61
47","0
0","0
0",Light Heavyweight,M-DEC,3,5:00
3114,"Cezar Ferreira
Anthony Smith","0
0","30
33","6
0","0
1",Middleweight,U-DEC,3,5:00
3115,"Kevin Lee
Jake Matthews","0
0","24
5","1
0","0
0",Lightweight,"KO/TKO
Punches",1,4:06
3116,"Li Jingliang
Anton Zafir","0
0","6
5","1
2","0
0",Welterweight,"KO/TKO
Punches",1,2:46
3117,"Eddie Alvarez
Rafael Dos Anjos","0
0","45
12","1
0","0
0",Lightweight,"KO/TKO
Punches",1,3:49
3118,"Derrick Lewis
Roy Nelson","0
0","37
4","0
7","0
0",Heavyweight,S-DEC,3,5:00
3119,"Alan Jouban
Belal Muhammad","3
0","86
77","0
2","0
0",Welterweight,U-DEC,3,5:00
3120,"Joe Duffy
Mitch Clarke","1
0","3
1","0
0","1
0",Lightweight,"SUB
Rear Naked Choke",1,0:25
3121,"Alberto Mina
Mike Pyle","1
0","16
2","2
0","0
1",Welterweight,"KO/TKO
Flying Knee",2,1:17
3122,"John Makdessi
Mehdi Baghdad","0
1","84
60","0
0","0
0",Lightweight,S-DEC,3,5:00
3123,"Anthony Birchak
Dileno Lopes","0
0","41
25","0
2","0
0",Bantamweight,S-DEC,3,5:00
3124,"Pedro Munhoz
Russell Doane","0
0","14
18","1
0","1
0",Bantamweight,"SUB
Guillotine Choke",1,2:08
3125,"Felipe Arantes
Jerrod Sanders","0
0","3
6","0
1","1
0",Bantamweight,"SUB
Armbar",2,1:39
3126,"Gilbert Burns
Lukasz Sajewski","0
0","13
14","1
0","1
0",Lightweight,"SUB
Armbar",1,4:57
3127,"Marco Beltran
Reginaldo Vieira","1
0","20
20","0
3","1
0",Bantamweight,"SUB
Rear Naked Choke",2,3:04
3128,"Vicente Luque
Alvaro Herrera Mendoza","0
0","25
12","4
0","1
0",Welterweight,"SUB
D'Arce Choke",2,3:52
3129,"Stephen Thompson
Rory MacDonald","0
0","110
61","0
0","0
0",Welterweight,U-DEC,5,5:00
3130,"Donald Cerrone
Patrick Cote","3
0","73
46","2
0","1
0",Welterweight,"KO/TKO
Punches",3,2:35
3131,"Steve Bosse
Sean O'Connell","0
1","93
84","1
0","0
0",Light Heavyweight,U-DEC,3,5:00
3132,"Olivier Aubin-Mercier
Thibault Gouti","0
0","44
29","3
0","1
0",Lightweight,"SUB
Rear Naked Choke",3,2:28
3133,"Joanne Wood
Valerie Letourneau","2
0","115
80","3
0","0
0",Women's Flyweight,"KO/TKO
Kick",3,2:44
3134,"Jason Saggo
Leandro Silva","0
0","48
47","1
2","0
0",Lightweight,S-DEC,3,5:00
3135,"Misha Cirkunov
Ion Cutelaba","0
0","44
24","1
0","1
0",Light Heavyweight,"SUB
Arm Triangle",3,1:22
3136,"Krzysztof Jotko
Tamdan McCrory","1
0","4
2","0
0","0
0",Middleweight,"KO/TKO
Punch",1,0:59
3137,"Joe Soto
Chris Beal","0
0","47
76","1
0","2
0",Bantamweight,"SUB
Rear Naked Choke",3,3:39
3138,"Elias Theodorou
Sam Alvey","0
0","37
24","0
0","0
0",Middleweight,U-DEC,3,5:00
3139,"Randa Markos
Jocelyn Jones-Lybarger","0
0","86
79","1
1","1
0",Women's Strawweight,U-DEC,3,5:00
3140,"Colby Covington
Jonathan Meunier","1
0","19
16","5
0","1
0",Welterweight,"SUB
Rear Naked Choke",3,0:54
3141,"Ali Bagautinov
Geane Herrera","0
0","90
13","5
1","0
2",Flyweight,U-DEC,3,5:00
3142,"Michael Bisping
Luke Rockhold","2
0","21
17","0
0","0
0",Middleweight,"KO/TKO
Punch",1,3:36
3143,"Dominick Cruz
Urijah Faber","1
0","87
34","3
1","0
0",Bantamweight,U-DEC,5,5:00
3144,"Max Holloway
Ricardo Lamas","0
0","103
64","0
0","2
0",Featherweight,U-DEC,3,5:00
3145,"Dan Henderson
Hector Lombard","1
1","13
23","0
2","0
2",Middleweight,"KO/TKO
Elbow",2,1:27
3146,"Dustin Poirier
Bobby Green","2
0","36
16","0
0","0
0",Lightweight,"KO/TKO
Punch",1,2:53
3147,"Brian Ortega
Clay Guida","1
1","62
62","0
0","0
0",Featherweight,"KO/TKO
Knee",3,4:40
